Seq Accuracy: 13.623789764868603, Loss: 1.9506178200244904

Seq Accuracy: 20.055325034578146, Loss: 1.942573368549347

Seq Accuracy: 19.363762102351313, Loss: 1.942441537976265

Seq Accuracy: 18.118948824343015, Loss: 1.942692443728447

Seq Accuracy: 19.847856154910097, Loss: 1.9424457997083664

Seq Accuracy: 18.948824343015215, Loss: 1.9437457621097565

Seq Accuracy: 19.432918395573996, Loss: 1.9427644610404968

Seq Accuracy: 19.64038727524205, Loss: 1.9427354037761688

Seq Accuracy: 14.522821576763485, Loss: 1.951280727982521

Seq Accuracy: 20.12448132780083, Loss: 1.9421444833278656
Seq Accuracy: 14.868603042876902, Loss: 1.9884705692529678

